N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wB
2.0,0.747928,es,gs,hs,0.5,0.7,0.9,5,0.9
7.0,0.647948,es,gs,hs,0.5,0.7,0.9,5,0.9
21.0,0.303156,es,gs,hs,0.5,0.7,0.9,5,0.9
59.0,0.513123,es,gs,hs,0.5,0.7,0.9,5,0.9
166.0,0.564732,es,gs,hs,0.5,0.7,0.9,5,0.9
464.0,0.660272,es,gs,hs,0.5,0.7,0.9,5,0.9
1291.0,1.132207,es,gs,hs,0.5,0.7,0.9,5,0.9
3593.0,2.73068,es,gs,hs,0.5,0.7,0.9,5,0.9
10000.0,7.69,es,gs,hs,0.5,0.7,0.9,5,0.9
1.0,1.0,es,gs,hs,0.5,0.2,1.0,5,0.75
2.0,0.468046,es,gs,hs,0.5,0.2,1.0,5,0.75
7.0,0.007861,es,gs,hs,0.5,0.2,1.0,5,0.75
21.0,0.0,es,gs,hs,0.5,0.2,1.0,5,0.75
59.0,0.0,es,gs,hs,0.5,0.2,1.0,5,0.75
