N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wA,wB,site
215.0,0.0,es,gs,hs,0.0,0.227,0.227,3,1.884,0.116,GCN
464.0,0.0,es,gs,hs,0.0,0.227,0.227,3,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,0.0,0.227,0.227,3,1.884,0.116,GCN
1.0,1.0,es,gs,hs,0.5,0.227,1.0,7,1.884,0.116,GCN
2.0,0.4796,es,gs,hs,0.5,0.227,1.0,7,1.884,0.116,GCN
4.0,0.24056,es,gs,hs,0.5,0.227,1.0,7,1.884,0.116,GCN
10.0,0.0045,es,gs,hs,0.5,0.227,1.0,7,1.884,0.116,GCN
21.0,0.0,es,gs,hs,0.5,0.227,1.0,7,1.884,0.116,GCN
46.0,0.0,es,gs,hs,0.5,0.227,1.0,7,1.884,0.116,GCN
100.0,0.0,es,gs,hs,0.5,0.227,1.0,7,1.884,0.116,GCN
215.0,0.0,es,gs,hs,0.5,0.227,1.0,7,1.884,0.116,GCN
464.0,0.0,es,gs,hs,0.5,0.227,1.0,7,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,0.5,0.227,1.0,7,1.884,0.116,GCN
1.0,1.0,es,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
2.0,0.00822,es,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
4.0,4e-05,es,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
10.0,0.0,es,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
21.0,0.0,es,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
46.0,0.0,es,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
100.0,0.0,es,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
215.0,0.0,es,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
464.0,0.0,es,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
1.0,1.0,es,gs,hs,0.0,0.227,1.0,5,1.884,0.116,GCN
2.0,0.01084,es,gs,hs,0.0,0.227,1.0,5,1.884,0.116,GCN
4.0,0.0,es,gs,hs,0.0,0.227,1.0,5,1.884,0.116,GCN
10.0,0.0,es,gs,hs,0.0,0.227,1.0,5,1.884,0.116,GCN
